C909  70 7 90                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C90B  90 5 30                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C90D  30 3 4C                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C90F  4C 16 C9                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C916  EA 18 24                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C917  18 24 1                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C918  24 1 A9                                   A:0 X:0 Y:0 P:2E SP:FB PPU:  0, 21 CYC:17
C91A  A9 0 69                                   A:0 X:0 Y:0 P:EE SP:FB PPU:  0, 21 CYC:17
C91C  69 69 30                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:17
C91E  30 B B0                                   A:69 X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:19
C920  B0 9 C9                                   A:69 X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:19
C922  C9 69 D0                                   A:69 X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:19
C924  D0 5 70                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C926  70 3 4C                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C928  4C 2F C9                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C92F  EA 38 F8                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C930  38 F8 24                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C931  F8 24 1                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C932  24 1 A9                                   A:69 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:19
C934  A9 1 69                                   A:69 X:0 Y:0 P:ED SP:FB PPU:  0, 21 CYC:19
C936  69 69 30                                   A:1 X:0 Y:0 P:6D SP:FB PPU:  0, 21 CYC:19
C938  30 B B0                                   A:6B X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:21
C93A  B0 9 C9                                   A:6B X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:21
C93C  C9 6B D0                                   A:6B X:0 Y:0 P:2C SP:FB PPU:  0, 21 CYC:21
C93E  D0 5 70                                   A:6B X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:21
C940  70 3 4C                                   A:6B X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:21
C942  4C 49 C9                                   A:6B X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:21
C949  EA D8 38                                   A:6B X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:21
C94A  D8 38 B8                                   A:6B X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:21
C94B  38 B8 A9                                   A:6B X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:21
C94C  B8 A9 7F                                   A:6B X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:21
C94D  A9 7F 69                                   A:6B X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:21
C94F  69 7F 10                                   A:7F X:0 Y:0 P:25 SP:FB PPU:  0, 21 CYC:21
C951  10 B B0                                   A:FF X:0 Y:0 P:E4 SP:FB PPU:  0, 21 CYC:23
C953  B0 9 C9                                   A:FF X:0 Y:0 P:E4 SP:FB PPU:  0, 21 CYC:23
C955  C9 FF D0                                   A:FF X:0 Y:0 P:E4 SP:FB PPU:  0, 21 CYC:23
C957  D0 5 50                                   A:FF X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:23
C959  50 3 4C                                   A:FF X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:23
C95B  4C 62 C9                                   A:FF X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:23
C962  EA 18 24                                   A:FF X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:23
C963  18 24 1                                   A:FF X:0 Y:0 P:67 SP:FB PPU:  0, 21 CYC:23
C964  24 1 A9                                   A:FF X:0 Y:0 P:66 SP:FB PPU:  0, 21 CYC:23
C966  A9 7F 69                                   A:FF X:0 Y:0 P:E4 SP:FB PPU:  0, 21 CYC:23
C968  69 80 10                                   A:7F X:0 Y:0 P:64 SP:FB PPU:  0, 21 CYC:23
C96A  10 B B0                                   A:FF X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:25
C96C  B0 9 C9                                   A:FF X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:25
C96E  C9 FF D0                                   A:FF X:0 Y:0 P:A4 SP:FB PPU:  0, 21 CYC:25
C970  D0 5 70                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C972  70 3 4C                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C974  4C 7B C9                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C97B  EA 38 B8                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C97C  38 B8 A9                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C97D  B8 A9 7F                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C97E  A9 7F 69                                   A:FF X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:25
C980  69 80 D0                                   A:7F X:0 Y:0 P:25 SP:FB PPU:  0, 21 CYC:25
C982  D0 9 30                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:27
C984  30 7 70                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:27
C986  70 5 90                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:27
